"error_x","error_y"
15.391,473.9168723,
15.391,473.9168723,
15.401,473.9194414,
15.401,473.8591157,
15.401,473.871295,
15.401,473.5042658,
15.454,473.5070189,
15.454,473.4477797,
15.454,473.3355143,
15.454,477.8905108,
15.464,477.8933061,
15.464,477.8352026,
15.464,477.6826781,
15.464,483.9666411,
15.521,483.9694089,
15.521,483.9125035,
15.521,483.7086239,
15.521,492.4492697,
15.571,492.4546812,
15.571,492.3447399,
15.571,492.1349924,
15.571,501.4417171,
15.574,501.4442886,
15.574,501.3913819,
15.574,501.3969549,
15.574,501.0955024,
15.614,501.0955024,
15.614,501.0955024,
15.614,500.9283095,
15.614,509.1595998,
15.644,509.1619976,
15.644,509.1105481,
15.644,509.045544,
15.644,512.3503621,
15.691,512.352731,
15.691,512.3028105,
15.701,512.2632102,
15.701,514.0896608,
15.714,514.0945026,
15.714,513.9994921,
15.714,514.0010111,
15.714,513.8018456,
15.744,513.8018456,
15.744,513.8018456,
15.744,513.8542325,
15.744,511.1794509,
15.784,511.1821171,
15.784,511.1371463,
15.784,511.1406627,
15.784,510.871166,
15.814,510.8739246,
15.814,510.8307101,
15.814,510.783005,
15.814,513.151174,
15.874,513.1567107,
15.874,513.0757385,
15.884,513.0500396,
15.884,514.1656704,
15.891,514.1656704,
15.891,514.1656704,
15.891,514.1671446,
15.891,514.111515,
15.911,514.1143358,
15.911,514.0766741,
15.911,513.8275214,
15.911,528.1080284,
15.941,528.1102278,
15.941,528.0744904,
15.941,528.0769276,
15.941,527.8094999,
15.971,527.8117592,
15.971,527.7780074,
15.971,527.7808803,
15.971,527.4935085,
16.024,527.4981931,
16.024,527.4367998,
16.024,527.3197503,
16.024,535.0520293,
16.024,535.0520293,
16.024,535.0520293,
16.024,535.0520293,
16.024,535.0520293,
16.084,535.0540244,
16.084,535.026447,
16.084,534.9961319,
16.084,537.1234306,
16.101,537.1253404,
16.101,537.0998891,
16.101,536.979886,
16.101,547.4495549,
16.124,547.4509235,
16.124,547.427624,
16.124,547.4299172,
16.124,547.0827141,
16.194,547.08412,
16.194,547.0630051,
16.194,547.0643563,
16.194,546.8026624,
16.204,546.8040989,
16.204,546.7851931,
16.214,546.7727494,
16.214,547.9004906,
16.251,547.9018759,
16.251,547.8852004,
16.251,547.8864354,
16.251,547.632684,
16.284,547.6340962,
16.284,547.6196709,
16.284,547.5280705,
16.284,559.6470144,
16.324,559.6477348,
16.324,559.6355742,
16.324,559.6320256,
16.324,560.2214015,
16.344,560.2220927,
16.344,560.2122133,
16.344,560.2128517,
16.344,559.9589651,
16.381,559.9596752,
16.381,559.9520884,
16.381,559.9417348,
16.381,562.0249692,
16.421,562.0255572,
16.421,562.0202716,
16.421,562.0205141,
16.421,561.836379,
16.454,561.83698,
16.454,561.834002,
16.464,561.811827,
16.464,571.0853628,
16.464,571.0853628,
16.464,571.0853628,
16.464,571.0853719,
16.464,571.0584357,
16.501,571.0585399,
16.501,571.0595175,
16.501,571.0595253,
16.501,570.7863814,
16.541,570.7864466,
16.541,570.7904012,
16.541,570.7906531,
16.541,573.3805866,
16.581,573.3804971,
16.581,573.3867572,
16.581,573.3892696,
16.581,575.4058057,
16.611,575.4055933,
16.611,575.4141514,
16.611,575.4138399,
16.611,575.1005134,
16.654,575.100322,
16.654,575.1111683,
16.654,575.1108489,
16.654,574.772673,
16.664,574.772673,
16.664,574.772673,
16.664,574.8028464,
16.664,583.4557971,
16.714,583.454428,
16.714,583.4829311,
16.714,583.4818441,
16.714,583.0599255,
16.754,583.059272,
16.754,583.0768965,
16.754,583.1112236,
16.754,588.1404833,
16.784,588.1395401,
16.784,588.1593858,
16.791,588.1774053,
16.791,590.1246864,
16.824,590.1236365,
16.824,590.1456807,
16.824,590.1435601,
16.824,589.8031131,
16.854,589.8020965,
16.854,589.8263145,
16.854,589.7845246,
16.854,583.9391138,
16.884,583.9384455,
16.884,583.9648111,
16.884,584.0182101,
16.884,590.8411752,
16.914,590.8401295,
16.914,590.8686079,
16.914,590.8910921,
16.914,593.0159023,
16.954,593.0147553,
16.954,593.0453149,
16.954,593.0431419,
16.954,592.7485249,
16.991,592.7474153,
16.991,592.780022,
16.991,592.7783726,
16.991,592.5362131,
17.014,592.5351391,
17.014,592.5697551,
17.014,592.6138838,
17.014,596.2949763,
17.061,596.2937262,
17.061,596.3303088,
17.061,596.3254962,
17.061,595.8513798,
17.084,595.8513798,
17.084,595.8513798,
17.084,595.8963883,
17.084,599.1855938,
17.104,599.1841601,
17.104,599.2187715,
17.104,599.213322,
17.104,598.7399515,
17.141,598.738517,
17.141,598.7711198,
17.151,598.7273945,
17.151,595.260322,
17.184,595.2577812,
17.184,595.3168162,
17.194,595.7058082,
17.194,616.1476591,
17.194,616.1476591,
17.194,616.1476591,
17.194,616.1107556,
17.194,614.5800834,
17.281,614.5776543,
17.281,614.6040015,
17.281,614.5175857,
17.281,610.4650289,
17.281,610.4628009,
17.281,610.4870071,
17.281,611.4046902,
17.281,639.3185702,
17.304,639.3145763,
17.304,639.336581,
17.304,639.1145644,
17.304,633.4628749,
17.361,633.4591917,
17.361,633.4790076,
17.361,633.4476602,
17.361,632.4605895,
17.381,632.4569291,
17.381,632.4745271,
17.381,632.487347,
17.381,632.652269,
17.414,632.6485614,
17.414,632.6639199,
17.414,633.2890117,
17.414,646.8301236,
17.454,646.8254645,
17.454,646.8385546,
17.454,646.9793493,
17.454,649.6575012,
17.484,649.6526369,
17.484,649.6634548,
17.484,650.1423838,
17.484,658.2058162,
17.511,658.2003622,
17.511,658.2088924,
17.511,658.2393337,
17.511,658.5115349,
17.554,658.5060315,
17.554,658.5122708,
17.554,658.7169366,
17.554,661.7178154,
17.574,661.7120788,
17.574,661.7160193,
17.574,661.9902458,
17.574,665.8158536,
17.591,665.8098288,
17.591,665.8114671,
17.591,665.6726239,
17.591,663.4060756,
17.654,663.4001972,
17.654,663.3995326,
17.654,663.4236004,
17.654,663.5746395,
17.681,663.5687465,
17.681,663.5657795,
17.681,664.0293311,
17.681,670.1796658,
17.714,670.1733318,
17.714,670.1680691,
17.721,670.4610304,
17.721,673.8947351,
17.731,673.8947351,
17.731,673.8947351,
17.731,673.8947351,
17.731,673.8947351,
17.781,673.8816123,
17.781,673.8642278,
17.781,673.9610897,
17.781,674.8082112,
17.781,674.8082112,
17.781,674.8082112,
17.781,674.9755273,
17.781,676.8399171,
17.854,676.8264978,
17.854,676.8000427,
17.864,677.1951391,
17.864,681.3747914,
17.874,681.3678416,
17.874,681.3512553,
17.874,681.6351301,
17.874,684.4463045,
17.904,684.4392032,
17.904,684.4204047,
17.904,684.5078426,
17.904,685.2326677,
17.941,685.2255791,
17.941,685.2045865,
17.951,684.9024725,
17.951,681.4042661,
17.974,681.3974902,
17.974,681.3743166,
17.974,681.3575202,
17.974,681.0175994,
17.974,681.0175994,
17.974,681.0175994,
17.974,681.1834691,
17.974,682.8897091,
18.034,682.8897091,
18.034,682.8897091,
18.034,682.9831722,
18.034,683.9007131,
18.091,683.8804357,
18.091,683.7981825,
18.091,684.2109991,
18.091,687.8761052,
18.091,687.8761052,
18.091,687.8761052,
18.091,687.8761052,
18.091,687.8761052,
18.151,687.8692876,
18.151,687.8377413,
18.151,688.1220161,
18.151,690.6754766,
18.191,690.6618789,
18.191,690.5928107,
18.191,690.8749154,
18.191,693.1811146,
18.214,693.1743656,
18.214,693.1369259,
18.214,693.221169,
18.214,693.8153875,
18.251,693.8087498,
18.251,693.7694258,
18.251,693.5702876,
18.251,691.6014339,
18.254,691.6014339,
18.254,691.6014339,
18.254,691.9377332,
18.254,694.8375305,
18.314,694.8309846,
18.314,694.7898249,
18.314,694.9577145,
18.314,696.2426366,
18.344,696.2361793,
18.344,696.1932337,
18.344,696.8317727,
18.344,701.8595614,
18.371,701.8529769,
18.371,701.8083217,
18.371,701.6174102,
18.371,699.9293632,
18.411,699.9230713,
18.411,699.8767133,
18.411,700.0513305,
18.411,701.3225248,
18.461,701.3104173,
18.461,701.212861,
18.461,701.250819,
18.461,701.3290191,
18.491,701.3232816,
18.491,701.2721891,
18.491,701.8619588,
18.491,706.1615909,
18.531,706.1558548,
18.531,706.1033338,
18.531,705.4302521,
18.531,700.1226383,
18.564,700.1174023,
18.564,700.0634317,
18.574,700.0857218,
18.574,700.1363647,
18.584,700.1363647,
18.584,700.1363647,
18.584,701.7749764,
18.584,713.4349916,
18.624,713.4241447,
18.624,713.3124619,
18.624,713.3856868,
18.624,713.7672429,
18.664,713.7622169,
18.664,713.7045306,
18.664,710.3627004,
18.664,682.9118706,
18.704,682.9082112,
18.704,682.8491309,
18.704,683.9439292,
18.704,693.7701149,
18.724,693.7663208,
18.724,693.706242,
18.724,693.9483315,
18.724,695.9037154,
18.754,695.9037154,
18.754,695.9037154,
18.754,695.9189115,
18.754,696.0571133,
18.791,696.0535002,
18.791,695.9924305,
18.791,696.1312725,
18.791,697.2031387,
18.821,697.1966393,
18.821,697.0717742,
18.821,695.3027024,
18.821,678.8687083,
18.851,678.8687083,
18.851,678.8687083,
18.851,679.053246,
18.851,680.9697271,
18.891,680.9672697,
18.891,680.9034787,
18.891,680.0605924,
18.891,670.8863401,
18.904,670.8843364,
18.904,670.819751,
18.904,670.5336302,
18.904,667.0771238,
18.984,667.0738815,
18.984,666.9428597,
18.984,666.7555499,
18.984,664.5597022,
18.984,664.5597022,
18.984,664.5597022,
18.984,664.5597022,
18.984,664.5597022,
19.021,664.5584116,
19.021,664.4921528,
19.021,664.7326295,
19.021,667.6658344,
19.061,667.6646856,
19.061,667.5980636,
19.061,667.359512,
19.061,664.4752161,
19.061,664.4752161,
19.061,664.4752161,
19.061,664.4529326,
19.061,664.257565,
19.104,664.2566383,
19.104,664.1896758,
19.104,664.2749583,
19.104,665.4152964,
19.164,665.4127878,
19.164,665.2114818,
19.164,665.5516937,
19.164,669.6428517,
19.181,669.6428517,
19.181,669.6428517,
19.184,669.7167305,
19.184,670.5657824,
19.184,670.5647444,
19.184,670.4978908,
19.184,670.4683326,
19.184,670.1906952,
19.224,670.1898866,
19.224,670.122713,
19.224,670.127981,
19.224,670.2685414,
19.301,670.2677519,
19.301,670.2005548,
19.311,670.3084025,
19.311,671.8455922,
19.344,671.8444515,
19.344,671.7096088,
19.371,671.7467708,
19.371,672.2425253,
19.371,672.2425253,
19.371,672.2425253,
19.371,672.2425253,
19.371,672.2425253,
19.371,672.2425253,
19.371,672.2425253,
19.371,672.2425253,
19.371,672.2425253,
19.421,672.2421838,
19.421,672.174611,
19.421,672.2607725,
19.421,673.2954819,
19.451,673.295002,
19.451,673.1598031,
19.451,673.3678083,
19.451,675.6522999,
19.481,675.6521455,
19.481,675.5845299,
19.481,675.6844092,
19.481,676.7721107,
19.521,676.7721976,
19.521,676.7045797,
19.521,677.2735272,
19.521,682.8493888,
19.541,682.8494347,
19.541,682.7818629,
19.541,682.8280466,
19.541,683.3801075,
19.564,683.3804134,
19.564,683.3128984,
19.564,683.2633876,
19.564,682.9581362,
19.624,682.9583796,
19.624,682.8908407,
19.624,682.9906996,
19.624,684.039726,
19.644,684.0402327,
19.644,683.972815,
19.644,684.6964744,
19.644,691.0549691,
19.681,691.0554305,
19.681,690.9880346,
19.681,690.8417331,
19.681,689.6973186,
19.724,689.6980491,
19.724,689.6308086,
19.724,689.6445833,
19.724,689.9991518,
19.741,689.9997906,
19.741,689.932486,
19.741,690.0526746,
19.741,691.0528457,
19.781,691.0537688,
19.781,690.9866943,
19.781,691.4664456,
19.781,695.4899478,
19.814,695.4907979,
19.814,695.423671,
19.814,695.4690138,
19.814,695.9412253,
19.834,695.9412253,
19.834,695.9412253,
19.834,695.8854103,
19.834,695.6536045,
19.894,695.6557568,
19.894,695.5219131,
19.894,696.8038486,
19.894,705.9936388,
19.921,705.995065,
19.921,705.9284998,
19.921,707.0874785,
19.921,714.4534392,
19.951,714.4548112,
19.951,714.3881865,
19.951,715.4058706,
19.951,721.3073718,
19.984,721.3091716,
19.984,721.2429804,
19.984,722.2014226,
19.984,727.3488194,
20.021,727.3505163,
20.021,727.2842156,
20.021,727.53814,
20.021,728.9223846,
20.054,728.9244733,
20.054,728.8585824,
20.054,730.1884192,
20.054,736.5491497,
20.084,736.5511439,
20.084,736.4851386,
20.084,736.2418868,
20.084,735.2557767,
20.124,735.258141,
20.124,735.1925418,
20.124,736.6446892,
20.124,743.0588694,
20.144,743.061131,
20.144,742.9953933,
20.144,744.1638699,
20.144,748.9835858,
20.144,748.9835858,
20.144,748.9835858,
20.144,748.918088,
20.144,748.7614488,
20.204,748.7642171,
20.204,748.6990189,
20.204,748.6896324,
20.204,748.7526175,
20.254,748.7580724,
20.254,748.6276016,
20.254,749.2659442,
20.254,751.7746426,
20.311,751.7773728,
20.311,751.7121169,
20.314,753.0961785,
20.314,758.2120608,
20.314,758.2153487,
20.314,758.1507096,
20.314,758.1310782,
20.314,758.0904327,
20.354,758.0934304,
20.354,758.0284483,
20.354,758.3890934,
20.354,759.7779277,
20.374,759.7779277,
20.374,759.7779277,
20.374,759.8948325,
20.374,760.3602327,
20.411,760.3637205,
20.411,760.2993138,
20.411,760.9428588,
20.411,763.1554561,
20.424,763.1586956,
20.424,763.0939646,
20.424,764.6904665,
20.424,769.7177389,
20.474,769.7215843,
20.474,769.6575324,
20.474,769.3327049,
20.474,768.4558282,
20.501,768.4593167,
20.501,768.3948425,
20.501,768.7659128,
20.501,769.9711463,
20.544,769.9751412,
20.544,769.9112803,
20.544,770.2092529,
20.544,771.3989007,
20.584,771.3989007,
20.584,771.3989007,
20.584,771.3280315,
20.584,771.21603,
20.584,771.2238543,
20.584,771.0959177,
20.584,771.3242089,
20.584,772.0036943,
20.634,772.0075166,
20.634,771.9434157,
20.634,772.092625,
20.634,772.6613329,
20.681,772.6656477,
20.681,772.6021842,
20.681,772.8009825,
20.681,773.5190337,
20.714,773.523006,
20.714,773.4590783,
20.724,773.8320114,
20.724,775.0067287,
20.761,775.0112188,
20.761,774.9479621,
20.761,777.796695,
20.761,785.1739969,
20.774,785.1832434,
20.774,785.0567854,
20.774,786.3405401,
20.774,789.4882203,
20.814,789.4882203,
20.814,789.4882203,
20.814,789.8606851,
20.814,790.8007372,
20.844,790.8053551,
20.844,790.7420465,
20.844,791.0745045,
20.844,791.928709,
20.874,791.9338852,
20.874,791.8712734,
20.874,793.4757993,
20.874,797.0577961,
20.921,797.0626811,
20.921,796.9996347,
20.921,797.5437268,
20.921,798.7774825,
20.961,798.7879933,
20.961,798.6627856,
20.961,801.9559113,
20.961,808.381456,
20.974,808.381456,
20.974,808.381456,
20.974,808.2899338,
20.974,808.3081148,
20.974,808.313975,
20.974,808.2520016,
20.974,808.2539508,
20.974,808.2391494,
21.051,808.2445359,
21.051,808.1819821,
21.051,812.7672317,
21.051,820.3675259,
21.101,820.3796971,
21.101,820.2560163,
21.104,819.0460602,
21.104,817.3174677,
21.124,817.3174677,
21.124,817.3174677,
21.124,831.4261374,
21.124,848.9403254,
21.154,848.9477069,
21.154,848.887104,
21.154,848.9690543,
21.154,849.1118444,
21.174,849.1199232,
21.174,849.0601049,
21.174,849.2645487,
21.174,849.5499815,
21.224,849.5580014,
21.224,849.4981086,
21.224,853.8297721,
21.224,857.8362929,
21.254,857.8453324,
21.254,857.7865463,
21.254,858.5387339,
21.254,859.2320867,
21.274,859.2410636,
21.274,859.1821781,
21.274,869.0893641,
21.274,876.1638561,
21.304,876.1742885,
21.304,876.1168874,
21.304,887.0721946,
21.304,892.6475388,
21.344,892.6585422,
21.344,892.6015857,
21.344,892.8623027,
21.344,892.9574117,
21.344,892.9574117,
21.344,892.9574117,
21.371,900.0703828,
21.371,902.5932165,
21.394,902.6055269,
21.394,902.5499236,
21.394,902.1773923,
21.394,902.0422622,
21.451,902.054318,
21.451,901.9984332,
21.451,902.6272715,
21.451,902.8012863,
21.474,902.8268766,
21.474,902.7167904,
21.474,902.733091,
21.474,902.692111,
21.524,902.7055976,
21.524,902.6514028,
21.524,925.0674655,
21.524,928.7761417,
21.541,928.7907937,
21.541,928.7374862,
21.554,934.7150207,
21.554,934.7621113,
21.554,934.7621113,
21.554,934.7621113,
21.554,934.4847832,
21.554,934.4269899,
21.614,934.4584618,
21.614,934.3541042,
21.614,933.5248973,
21.614,933.4383791,
21.644,933.4547883,
21.644,933.4034028,
21.644,934.0477586,
21.644,934.0895434,
21.684,934.1055826,
21.684,934.053748,
21.684,939.1122479,
21.684,938.7844455,
21.714,938.8017321,
21.714,938.7512603,
21.714,938.9554414,
21.714,938.875802,
21.744,938.875802,
21.744,938.875802,
21.744,940.3925821,
21.744,940.2152427,
21.774,940.2321933,
21.774,940.181283,
21.774,938.2495984,
21.774,938.2842702,
21.814,938.3020114,
21.814,938.2521042,
21.814,938.9326787,
21.814,938.8233807,
21.844,938.8406927,
21.844,938.7902351,
21.844,954.393254,
21.844,952.5517096,
21.864,952.5709766,
21.864,952.5224912,
21.894,951.6288189,
21.894,951.656603,
21.921,951.6949143,
21.921,951.597737,
21.921,953.063706,
21.921,952.6886994,
21.944,952.6886994,
21.944,952.6886994,
21.944,962.9112546,
21.944,960.7605731,
21.984,960.7803945,
21.984,960.732336,
21.984,961.0880561,
21.984,960.9205263,
21.984,960.9413464,
21.984,960.8944577,
21.984,958.3422244,
21.984,958.8034727,
22.041,958.8235391,
22.041,958.7758031,
22.041,959.5437987,
22.041,959.3026571,
22.091,959.3237345,
22.091,959.277213,
22.091,980.5337017,
22.091,974.1317511,
22.114,974.1317511,
22.114,974.1317511,
22.114,973.7473073,
22.114,973.8133678,
22.154,973.8579332,
22.154,973.7668077,
22.154,975.5025132,
22.154,974.780503,
22.171,974.8027319,
22.171,974.7570675,
22.171,985.9581521,
22.171,981.5273558,
22.224,981.5513018,
22.224,981.5074133,
22.224,982.5182141,
22.224,981.9470151,
22.244,981.9703139,
22.244,981.92568,
22.244,992.4323674,
22.244,987.7194639,
22.281,987.7444495,
22.281,987.7015565,
22.281,987.1751756,
22.281,987.2847593,
22.321,987.3089681,
22.321,987.2652222,
22.321,988.2491924,
22.321,987.5777018,
22.344,987.6030304,
22.344,987.5605179,
22.344,990.5844106,
22.344,988.9991549,
22.384,989.0239022,
22.384,988.9806992,
22.384,989.2860232,
22.384,988.9773586,
22.411,989.0031857,
22.411,988.9611858,
22.411,991.4345969,
22.411,990.1038011,
22.424,990.1289938,
22.424,990.0862453,
22.464,991.3848612,
22.464,990.4824708,
22.464,990.5088077,
22.464,990.4673252,
22.464,988.60862,
22.464,989.4475196,
22.511,989.4729414,
22.511,989.4304484,
22.511,994.3266438,
22.511,991.7307726,
22.534,991.7307726,
22.534,991.7307726,
22.534,991.3724173,
22.534,991.4679845,
22.584,991.5206821,
22.584,991.4376598,
22.584,989.6161818,
22.584,990.3151403,
22.621,990.3420243,
22.621,990.30116,
22.621,991.0592272,
22.621,990.5539033,
22.641,990.5800069,
22.641,990.5382232,
22.641,991.1169668,
22.641,990.7446041,
22.671,990.7717923,
22.671,990.7312578,
22.671,977.7543205,
22.671,984.1378859,
22.691,984.1378859,
22.691,984.1378859,
22.691,983.645704,
